築年数,階,管理費,専有面積,賃貸アパート,賃貸テラス・タウンハウス,賃貸マンション,賃貸一戸建て,区,最寄り駅,歩分,地下階数,地上階数,居室,S,L,D,K
16,4,5000,139.26,False,False,True,False,大田区,大森町駅,8,0,4,3,1,1,1,1
16,4,5000,139.26,False,False,True,False,大田区,大森町駅,8,0,4,3,1,1,1,1
54,7,10000,48.6,False,False,True,False,豊島区,千川駅,1,0,13,2,0,1,1,1
27,3,10000,70.06,False,False,True,False,葛飾区,青砥駅,8,0,10,2,0,1,1,1
27,10,10000,71.59,False,False,True,False,葛飾区,青砥駅,8,0,10,3,0,1,1,1
0,1,4000,30.65,True,False,False,False,葛飾区,京成小岩駅,4,0,3,1,0,1,1,1
0,2,4000,30.65,True,False,False,False,葛飾区,京成小岩駅,4,0,3,1,0,1,1,1
0,2,4000,30.94,True,False,False,False,葛飾区,京成小岩駅,4,0,3,1,0,1,1,1
0,1,4000,38.38,True,False,False,False,葛飾区,京成小岩駅,4,0,3,2,0,0,1,1
0,2,4000,38.38,True,False,False,False,葛飾区,京成小岩駅,4,0,3,2,0,0,1,1
23,6,10000,66.5,False,False,True,False,荒川区,三河島駅,5,0,13,3,0,1,1,1
6,4,20000,50.88,False,False,True,False,荒川区,尾久駅,6,0,8,3,0,0,1,1
6,4,25000,50.88,False,False,True,False,荒川区,尾久駅,6,0,8,3,0,0,1,1
1,11,10000,54.64,False,False,True,False,葛飾区,青砥駅,8,0,14,1,1,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.26,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.26,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.26,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,2,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,4,20000,51.26,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,7,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,7,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,7,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
0,7,20000,51.03,False,False,True,False,荒川区,三河島駅,6,0,7,2,0,1,1,1
28,3,14000,65.5,False,False,True,False,荒川区,西日暮里駅,10,0,9,3,0,1,1,1
4,2,19000,25.62,False,False,True,False,葛飾区,亀有駅,8,0,8,2,0,0,0,1
4,2,19000,25.62,False,False,True,False,葛飾区,亀有駅,8,0,8,2,0,0,0,1
4,2,15000,22.5,False,False,True,False,葛飾区,亀有駅,8,0,8,1,0,0,0,1
8,3,4000,44.71,True,False,False,False,葛飾区,綾瀬駅,13,0,3,2,0,1,1,1
8,3,4000,44.71,True,False,False,False,葛飾区,綾瀬駅,13,0,3,2,0,1,1,1
8,2,2500,43.36,True,False,False,False,荒川区,日暮里駅,8,0,3,1,0,1,1,1
8,2,2500,47.23,True,False,False,False,荒川区,日暮里駅,8,0,3,2,0,1,1,1
4,1,4400,44.8,True,False,False,False,荒川区,三ノ輪駅,6,0,3,1,0,1,1,1
2,1,0,91.02,False,False,False,True,葛飾区,新小岩駅,12,0,2,3,1,1,1,1
2,2,0,91.02,False,False,False,True,葛飾区,新小岩駅,12,0,2,3,1,1,1,1
2,1,0,91.02,False,False,False,True,葛飾区,新小岩駅,12,0,2,3,1,1,1,1
4,5,6600,41.33,False,False,True,False,葛飾区,お花茶屋駅,10,0,6,1,0,1,1,1
20,2,8000,42.0,False,False,True,False,荒川区,新三河島駅,7,0,3,1,0,1,1,1
